級別,單字,屬性,中文
2,anger,n.,憤怒
2,angle,n.,角度
2,ankle,n.,踝
2,anytime,adv.,隨時
2,anyway,adv.,反正
2,anywhere/anyplace,adv.,任何地方/任何地方
2,ape,n.,猿
2,appearance,n.,外貌
2,appetite,n.,食慾
2,apply,v.,申請
2,appreciate,v.,欣賞
2,approach,n./v.,方法
2,argue(argument),v./(n.),爭論（爭論）
2,army,n.,軍隊
2,arrange(ment),v./(n.),安排）
2,arrival,n.,到達
2,arrow,n.,箭
2,article,n.,文章
2,artist,n.,藝術家
2,asleep,adj.,睡著了
2,attempt,n./v.,試圖
2,attend,"v,",出席
2,attention,n.,注意力
2,author,n./v.,作者
2,available,adj.,可用的
2,average,adj./n./v.,平均的
2,avoid,v.,避免
2,backpack,n./v.,背包
2,backward,adj.,落後
2,backward/backwards,adv.,向後/向後
2,badminton,n.,羽毛球
2,bake,v.,烤
2,bakery,n.,麵包店
2,balance,n./v.,平衡
2,balcony,n.,陽台
2,balloon,n.,氣球
2,bar,n./v.,酒吧
2,barbecue,n./v.,燒烤
2,barber,n.,理髮師
2,bark,n./v.,吠
2,base,n./v.,根據
2,basic,adj.,基本的
2,basics,n.,基礎知識
2,basis,n.,基礎
2,bathe,v.,洗澡
2,battle,n./v.,戰鬥
2,beard,n.,鬍鬚
2,beat,v./n.,打
2,beauty,n.,美麗
2,beer,n.,啤酒
2,beg,v.,求
2,beginner,n.,初學者
2,behave,v.,表現
2,being,n.,存在
2,belief,n.,信仰
2,bend,v./n.,彎曲
2,better,adj./adv./n./v.,更好的
2,beyond,prep./adv.,超過
2,bill,n./v.,帳單
2,billion,n.,十億
2,birth,n.,出生
2,biscuit,n.,餅乾
2,bit,n.,位元
2,blackboard,n.,黑板
2,blame,v./n.,責備
2,blank,adj./n.,空白的
2,blanket,n./v.,毯子
2,blood,n.,血
2,board,n./v.,木板
2,boil,n./v.,熬
2,bone,n.,骨
2,bookstore,n.,書店
2,border,n./v.,邊界
2,bother,v./n.,打擾
2,brain,n.,腦
2,branch,n./v.,分支
2,brand,n.,品牌
2,brief,adj./n./v.,簡短的
2,brilliant,adj.,傑出的
2,broad,adj.,廣闊
2,brush,n./v.,刷子
2,building,n.,大樓
2,bun,n.,包子
2,burden,n./v.,負擔
2,burn,v./n.,燒傷
2,burst,n./v.,爆裂
2,businessman,n.,商人
2,cabbage,n.,高麗菜
2,caf./cafe,n.,咖啡館/咖啡館
2,cage,n./v.,籠
2,calendar,n.,日曆
2,calm,v./adj./n,冷靜的
2,camel,n.,駱駝
2,cancel,v.,取消
2,cancer,n.,癌症
2,candle,n.,蠟燭
2,capital,n./adj.,首都
2,cartoon,n./v.,卡通片
2,cash,n./v.,現金
2,castle,n.,城堡
2,cause,n./v.,原因
2,ceiling,n.,天花板
2,cell,n.,細胞
2,centimeter,n.,公分
2,central,adj.,中央
2,century,n.,世紀
2,cereal,n.,穀物
2,chain,n./v.,鏈
2,chalk,n./v.,粉筆
2,challenge,n./v.,挑戰
2,channel,n./v.,頻道
2,chapter,n.,章
2,character,n.,特點
2,charge,n./v.,收費
2,chart,n.,圖表
2,chase,n./v.,追趕
2,cheat,v./n.,欺騙
2,cheer,v./n.,歡呼
2,chemical,adj./n.,化學
2,chess,n.,棋
2,chief,adj./n.,首席
2,childhood,n.,童年
2,childish,adj.,幼稚
2,china,n.,中國
2,chopstick(s),n.,筷子）
2,claim,n./v.,宣稱
2,clap,v./n.,拍
2,classic,adj./n.,經典的
2,classical,adj.,古典
2,classmate,n.,同學
2,clever,adj.,聰明的
2,click,v./n.,點選
2,climate,n.,氣候
2,cloth,n.,布
2,clothing,n.,衣服
2,cloudy,adj.,多雲
2,coal,n.,煤炭
2,coast,n.,海岸
2,cockroach/roach,n.,蟑螂/蟑螂
2,cocoa,n.,可可
2,coin,n.,硬幣
2,cola/Coke,n.,可樂/可樂
2,college,n.,大學
2,comb,n./v.,梳子
2,combine,v.,結合
2,comic(s),adj./n.,漫畫
2,command,n./v.,命令
2,commercial,adj./n.,商業的
2,company,n.,公司
2,compare,v.,比較
2,complete,adj./v.,完全的
2,complex,adj./n.,複雜的
2,concern,n./v.,憂慮
2,conclude,v.,得出結論
2,condition,n./v.,狀態
2,confident,adj.,自信的
2,conflict,n./v.,衝突
2,congratulation(s),n.,恭喜
2,connection,n.,聯繫
2,consider,v.,考慮
2,consideration,n.,考慮
2,contact,n./v.,接觸
2,contain,v.,包含
2,continue,v.,繼續
2,contract,n./v.,合約
2,control,n./v.,控制
2,conversation,n.,對話
2,corn,n.,玉米
2,countryside,n.,農村
2,couple,n./v.,夫妻
2,courage,n.,勇氣
2,court,n.,法庭
2,cowboy,n.,牛仔
2,crayon,n.,蠟筆
2,cream,n./adj.,奶油
2,create,v.,創造
2,crime,n.,犯罪
2,crisis,n.,危機
2,crow,n.,烏鴉
2,crowd,n./v.,人群
2,cultural,adj.,文化
2,culture,n.,文化
2,cure,n./v.,治癒
2,curious,adj.,好奇的
2,current,adj./n.,目前的
2,curtain,n./v.,窗簾
2,custom,n.,風俗
2,customer,n.,顧客
2,cycle,n./v.,循環
2,daily,adj./adv./n.,日常的
2,damage,n./v.,損害
2,dancer,n.,舞者
2,danger,n.,危險
2,data,n.,數據
2,deaf,adj.,聾
2,debate,n./v.,辯論
2,debt,n.,債務
2,decision,n.,決定
2,deer,n.,鹿
2,degree,n.,程度
2,delay,n./v.,延遲
2,delicious,adj.,可口的
2,deliver,v.,遞送
2,delivery,n.,送貨
2,dentist,n.,牙醫
2,deny,v.,否定
2,department,n.,部門
2,depend,v.,依賴
2,depth,n.,深度
2,describe,v.,描述
2,description,n.,描述
2,desert,n./v.,沙漠
2,design,n./v.,設計
2,detail,n./v.,細節
2,develop(ment),v./(n.),發展）
2,dial,n./v.,撥號
2,dialogue,n.,對話
2,diamond,n.,鑽石
2,diary,n.,日記
2,diet,n./v.,飲食
2,difference,n.,不同之處
2,difficulty,n.,困難
2,direct,adj./v./adv.,直接的
2,direction,n.,方向
2,director,n.,導演
2,disagree(ment),v./(n.),不同意（意見）
2,disappear,v.,消失
2,discover,v.,發現
2,discovery,n.,發現
2,discuss,v.,討論
2,discussion,n.,討論
2,disease,n.,疾病
2,display,n./v.,展示
2,distance,n.,距離
2,distant,adj.,遙遠
2,divide,v./n.,劃分
2,division,n.,分配
2,domestic,adj.,國內的
2,dot,n./v.,點
2,double,adj./v./n./adv.,雙倍的
2,doubt,n./v.,懷疑
2,dove,n.,鴿子
2,download,v.,下載
2,downstairs,adv./n./adj.,樓下
2,dragon,n.,龍
2,drama,n.,戲劇
2,drawer,n.,抽屜
2,drawing,n.,繪畫
2,drug,n./v.,藥物
2,dryer,n.,烘乾機
2,due,adj./adv./n.,到期的
2,dull,adj./v.,乏味的
2,duty,n.,責任
2,eagle,n.,鷹
2,earn,v.,賺
2,earring(s),n.,耳環）
2,earthquake,n.,地震
2,ease,n./v.,舒適
2,eastern,adj.,東
2,edge,n./v.,邊緣
2,edition,n.,版
2,education,n.,教育
2,effect,n./v.,影響
2,effective,adj.,有效的
2,effort,n.,努力
2,elder,n./adj.,長老
2,electric,adj.,電的
2,electrical,adj.,電力
2,emotion,n.,情緒
2,emphasize,v.,強調
2,employ(ment),v./(n.),就業（就業）
2,employee,n.,員工
2,employer,n.,雇主
2,empty,adj./v.,空的
2,encourage(ment),v./(n.),鼓勵）
2,ending,n.,結束
2,enemy,n.,敵人
2,energy,n.,活力
2,engine,n.,引擎
2,entire,adj.,全部的
2,entrance,n.,入口
2,environment,n.,環境
2,environmental,adj.,環境的
2,equal,adj./v./n.,平等的
2,escape,v./n.,逃脫
2,especially,adv.,尤其
2,essay,n.,散文
2,eve,n.,前夕
2,event,n.,事件
2,evil,n./adj.,邪惡的
2,exact,adj.,精確的
2,examination/exam,n.,考試/考試
2,examine,v.,檢查
2,excite(ment),v./(n.),激動）
2,excuse,v./n.,原諒
2,exist,v.,存在
2,existence,n.,存在
2,exit,n./v.,出口
2,expense,n.,費用
2,expert,n./adj.,專家
2,express,v./adj./adv./n.,表達
2,expression,n.,表達
2,extra,adj./adv./n.,額外的
2,eyebrow/brow,n.,眉毛/眉毛
2,factor,n.,因素
2,failure,n.,失敗
2,fair,adj./n./adv.,公平的
2,FALSE,adj.,錯誤的
2,fashion,n./v.,時尚
2,fate,n.,命運
2,fault,n./v.,過失
2,favor,n./v.,青睞
2,favorite,adj./n.,最喜歡的
2,fear,n./v.,害怕
2,feature,n./v.,特徵
2,fee,n.,費用
2,feeling,n.,感覺
2,fellow,n.,同胞
2,female,adj./n.,女性
2,fever,n.,發燒
2,field,n.,場地
2,figure,n./v.,數位
2,final,adj./n.,最終的
2,fireman/firewoman,n.,消防員/女消防員
2,firm,n./adj./v./adv.,公司
2,fisherman,n.,漁夫
2,fit,v./adj./n./adv.,合身
2,fix,v./n.,使固定
2,flag,n.,旗幟
2,flat,adj./adv./n.,平坦的
2,flight,n.,航班
2,flow,n./v.,流動
2,flu,n.,流感
2,focus,n./v.,重點
2,fog,n./v.,多霧路段
2,folk,n.,民間
2,following,adj./prep./n.,下列的
2,foolish,adj.,愚蠢的
2,football,n.,足球
2,force,n./v.,力量
2,forest,n.,森林
2,forgive,v.,原諒
2,form,n./v.,形式
2,formal,adj.,正式的
2,former,adj.,以前的
2,forth,adv.,向前
2,forward,adj./n./v.,向前
2,forward/forwards,adv.,轉發/轉發
2,found,v.,成立
2,fox,n.,狐狸
2,freedom,n.,自由
2,friendship,n.,友誼
2,fries,n.,薯條
2,fry,v./n.,炒
2,function,n./v.,功能
2,furniture,n.,家具
2,further,adv./adj./v.,更遠
2,gain,v./n.,獲得
2,garbage,n.,垃圾
2,gardener,n.,園丁
2,garlic,n.,蒜
2,gather,v.,收集
2,general,adj./n.,一般的
2,generous,adj.,慷慨的
2,gentle,adj.,溫和的
2,gentleman,n.,紳士
2,giraffe,n.,長頸鹿
2,glue,n./v.,膠水
2,goal,n.,目標
2,goat,n.,山羊
2,gold,n./adj.,金子
2,golden,adj.,金的
2,goose,n.,鵝
2,govern,v.,治理
2,government,n.,政府
2,gradual,adj.,漸進的
2,grain,n.,糧食
2,gram,n.,克
2,grand,adj.,盛大
2,grape,n.,葡萄
2,greet,v.,迎接
2,growth,n.,生長
2,guard,n./v.,警衛
2,guava,n.,番石榴
2,guest,n.,客人
2,guide,n./v.,指導
2,gun,n./v.,槍
2,gymnasium/gym,n.,體育館/體育館
2,haircut,n.,理髮
2,hall,n.,大廳
2,hamburger/burger,n.,漢堡/漢堡
2,handle,v./n.,處理
2,handsome,adj.,英俊的
2,hardly,adv.,幾乎不
2,heaven,n.,天堂
2,hero/heroine,n.,英雄/女主角
2,highly,adv.,高度
2,highway,n.,公路
2,hike,n./v.,遠足
2,hip,n.,時髦的
2,hippopotamus/hippo,n.,河馬
2,historical,adj.,歷史的
2,hole,n.,洞
2,hop,v./n.,跳
2,host/hostess,n.,男主人/女主人
2,huge,adj.,巨大的
2,human,adj./n.,人類
2,humble,adj.,謙遜的
2,hunt,v./n.,打獵
2,hunter,n.,獵人
2,hurry,v./n.,匆忙
2,ideal,adj./n.,理想的
2,identity,n.,身分
2,ignore,v.,忽略
2,ill,adj./adv./n.,患病的
2,image,n.,影像
2,imagine,v.,想像
2,importance,n.,重要性
2,impressive,adj.,感人的
2,improve(ment),v./(n.),改進）
2,include,v.,包括
2,income,n.,收入
2,increase,v./n.,增加
2,indeed,adv.,的確
2,independence,n.,獨立
2,independent,adj.,獨立的
2,indicate,v.,表明
2,individual,adj./n.,個人
2,industry,n.,產業
2,influence,n./v.,影響
2,ink,n./v.,墨水
2,insist,v.,堅持
2,instance,n.,實例
2,instant,adj./n.,立即的
2,instead,adv.,反而
2,instruction,n.,操作說明
2,instrument,n.,樂器
2,internal,adj.,內部的
2,international,adj.,國際的
2,Internet/internet,n.,互聯網/互聯網
2,introduce,v.,介紹
2,introduction,n.,介紹
2,iron,n./v./adj.,鐵
2,jam,n./v.,果醬
2,jog,v./n.,慢跑
2,joint,adj./n.,聯合的
2,journal,n.,雜誌
2,judge,n./v.,法官
2,judgment/judgement,n.,判斷/判斷
2,justice,n.,正義
2,keeper,n.,守門員
2,ketchup,n.,番茄醬
2,kilogram,n.,公斤
2,lack,n./v.,缺少
2,lady,n.,女士
2,ladybug,n.,瓢蟲
2,lamb,n./v.,羊肉
2,lane,n.,車道
2,lantern,n.,燈籠
2,lap,n.,圈
2,latest,adj.,最新的
2,latter,adj.,後者
2,law,n.,法律
2,lay,v.,躺著
2,leadership,n.,領導
2,leaf,n.,葉子
2,legal,adj.,合法的
2,lend,v.,借
2,length,n.,長度
2,lens,n.,鏡片
2,liberal,adj.,自由主義
2,lid,n.,蓋
2,lift,v./n.,舉起
2,likely,adj./adv.,可能
2,limit,n./v.,限制
2,link,n./v.,關聯
2,liquid,n.,液體
2,listener,n.,聽眾
2,liver,n.,肝
2,load,n./v.,載入
2,local,adj./n.,當地的
2,lone,adj.,孤獨的
2,loss,n.,損失
2,lower,v.,降低
2,luck,n.,運氣
2,magazine,n.,雜誌
2,maintain,v.,維持
2,major,adj./n./v.,主要的
2,male,adj./n.,男性
2,manage(ment),v./(n.),管理）
2,manager,n.,主管
2,mango,n.,芒果
2,manner,n.,方式
2,marriage,n.,婚姻
2,marry,v.,結婚
2,mask,n./v.,面具
2,mass,n.,大量的
2,master,n./v.,掌握
2,mat,n.,墊
2,match,n.,匹配
2,material,n./v.,材料
2,material,n.,材料
2,mature,adj.,成熟
2,meaning,n.,意義
2,means,n.,方法
2,measure(ment),v./(n.),測量）
2,medical,adj.,醫療的
2,melody,n.,旋律
2,membership,n.,會員資格
2,memory,n.,記憶
2,mention,v./n.,提到
2,message,n.,訊息
2,metal,n./adj.,金屬
2,meter,n.,儀表
2,method,n.,方法
2,midnight,n.,午夜
2,mile,n.,英哩
2,military,adj./n.,軍隊
2,minor,adj./n.,次要的
2,minority,n.,少數民族
2,mirror,n./v.,鏡子
2,mix,n./v.,混合
2,mixture,n.,混合物
2,model,n./v.,模型
2,mood,n.,情緒
2,mop,n./v.,拖把
2,motion,n.,運動
2,motorcycle,n.,摩托車
2,mug,n.,馬克杯
2,musical,adj./n.,音樂
2,musician,n.,音樂家
2,nail,n.,指甲
2,narrow,adj./v.,狹窄的
2,nation,n.,國家
2,natural,adj.,自然的
2,naughty,adj.,淘氣
2,nearby,adj./adv.,附近
2,nearly,adv.,幾乎
2,necessary,adj.,必要的
2,necklace,n.,項鍊
2,needle,n.,針
2,negative,adj./n.,消極的
2,neighbor,n.,鄰居
2,neither,adj./adv./pron./conj.,兩者都不
2,nephew,n.,姪子
2,nerve,n.,神經
2,nervous,adj.,緊張的
2,network,n./v.,網路
2,niece,n.,姪女
2,nod,n./v.,點點頭
2,none,pron./adv.,沒有任何
2,noodle,n.,麵條
2,nor,conj.,也不
2,northern,adj.,北方
2,notebook,n.,筆記本
2,novel,n./adj.,小說
2,nut,n.,堅果
2,obey,v.,服從
2,object,n./v.,目的
2,obvious,adj.,明顯的
2,occur,v.,發生
2,ocean,n.,海洋
2,offer,v./n.,提供
2,official,adj./n.,官方的
2,operate,v.,操作
2,operator,n.,操作員
2,opinion,n.,觀點
2,ordinary,adj.,普通的
2,organ,n.,器官
2,organization,n.,組織
2,origin,n.,起源
2,owner,n.,擁有者
2,pain,n./v.,疼痛
2,painful,adj.,痛苦
2,painting,n.,繪畫
2,pajamas,n.,睡衣
2,pale,adj.,蒼白
2,pan,n.,平底鍋
2,panda,n.,貓熊
2,papaya,n.,木瓜
2,pardon,n./v.,赦免
2,participate,v.,參加
2,particular,adj.,特別的
2,partner,n.,夥伴
2,password,n.,密碼
2,paste,n./v.,貼上
2,path,n.,小路
2,patient,n./adj.,病人
2,pattern,n./v.,圖案
2,peace,n.,和平
2,peaceful,adj.,和平
2,peach,n.,桃
2,peak,n./v.,頂峰
2,pear,n.,梨
2,per,prep.,每
2,perfect,adj./v./n.,完美的
2,period,n.,時期
2,personal,adj.,個人的
2,personality,n.,性格
2,phrase,n./v.,短語
2,pillow,n.,枕頭
2,pizza,n.,披薩
2,plain,adj./n.,清楚的
2,platform,n.,平台
2,playground,n.,操場
2,pleasant,adj.,令人愉快的
2,plus,prep./n./adj.,加
2,poem,n.,詩
2,poet,n.,詩人
2,poetry,n.,詩
2,poison,n./v.,毒
2,policeman/cop,n.,警察/警察
2,policy,n.,政策
2,pop,n./adj.,流行音樂
2,population,n.,人口
2,pork,n.,豬肉
2,port,n.,港口
2,pose,v./n.,姿勢
2,position,n./v.,位置
2,positive,adj.,積極的
2,possibility,n.,可能性
2,post,n./v./adv.,郵政
2,postcard,n.,明信片
2,pound,n.,磅
2,powerful,adj.,強大的
2,praise,n./v.,稱讚
2,pray,v.,祈禱
2,prayer,n.,禱告
2,prefer,v.,更喜歡
2,president,n.,總統
2,press,n./v.,按
2,pressure,n./v.,壓力
2,pride,n./v.,自豪
2,priest,n.,牧師
2,primary,adj.,基本的
2,prince/princess,n.,王子/公主
2,principal,adj./n.,主要的
2,principle,n.,原則
2,print,n./v.,列印
2,printer,n.,印表機
2,prison,n.,監獄
2,prisoner,n.,囚犯
2,private,adj.,私人的
2,prize,n./v.,獎
2,produce,v./n.,生產
2,production,n.,生產
2,progress,n./v.,進步
2,project,n.,專案
2,promise,n./v.,承諾
2,proper,adj.,恰當的
2,propose,v.,提出
2,protect,v.,保護
2,protective,adj.,保護的
2,prove,v.,證明
2,provide,v.,提供
2,pudding,n.,布丁
2,pumpkin,n.,南瓜
2,punish(ment),v./(n.),懲罰）
2,pupil,n.,瞳孔
2,puppy,n.,小狗
2,purple,adj./n.,紫色的
2,purpose,n.,目的
2,puzzle,n./v.,謎
2,quality,n.,品質
2,quantity,n.,數量
2,quiz,n.,測驗
2,railroad/railway,n.,鐵路/鐵路
2,raincoat,n.,雨衣
2,range,n./v.,範圍
2,rapid,adj.,迅速的
2,rare,adj.,稀有的
2,rat,n.,鼠
2,rather,adv.,相當
2,reality,n.,現實
2,realize,v.,意識到
2,receive,v.,收到
2,recent,adj.,最近的
2,record,n./v.,記錄
2,recover,v.,恢復
2,refrigerator/fridge,n.,冰箱/冰箱
2,refuse,v.,拒絕
2,regard,n./v.,看待
2,region,n.,地區
2,regular,adj./n.,常規的
2,reject,v.,拒絕
2,relate,v.,涉及
2,relation,n.,關係
2,relationship,n.,關係
2,religion,n.,宗教
2,remove,v.,消除
2,rent,n./v.,租
2,repair,n./v.,維修
2,reply,n./v.,回覆
2,require(ment),v./(n.),要求）
2,respect,n./v.,尊重
2,respond,v.,回應
2,responsible,adj.,負責任的
2,restroom,n.,廁所
2,result,n./v.,結果
2,return,v./n.,返回
2,review,n./v.,審查
2,riches,n.,財富
2,rocky,adj.,岩石的
2,role,n.,角色
2,roof,n./v.,屋頂
2,rooster,n.,公雞
2,royal,adj.,皇家的
2,rub,v./n.,擦
2,rubber,n.,橡皮
2,rude,adj.,粗魯的
2,runner,n.,跑者
2,safety,n.,安全
2,sail,v./n.,帆
2,sailor,n.,水手
2,salesperson/salesman/saleswoman,n.,推銷員/推銷員/女推銷員
2,salty,adj.,鹹
2,sample,n./v.,樣本
2,sand,n./v.,沙
2,sandwich,n./v.,三明治
2,satisfy,v.,滿足
2,saw,v./n.,鋸
2,scare,v./n.,嚇
2,scared,adj.,害怕的
2,scene,n.,場景
2,schedule,n./v.,行程
2,scooter,n.,小型摩托車
2,score,n./v.,分數
2,screen,n.,螢幕
2,seafood,n.,海鮮
2,search,n./v.,搜尋
2,secondary,adj.,中學
2,secret,adj./n.,秘密
2,section,n.,部分
2,seek,v.,尋找
2,seem,v.,似乎
2,seesaw,n.,蹺蹺板
2,seldom,adv.,很少
2,select,v./adj.,選擇
2,selection,n.,選擇
2,self,n.,自己
2,selfish,adj.,自私
2,sense,n./v.,感覺
2,sensitive,adj.,敏感的
2,separate,adj./v.,分離
2,servant,n.,僕人
2,serve,v.,服務
2,settle(ment),v./(n.),沉降）
2,sex,n.,性別
2,shame,n./v.,恥辱
2,shark,n.,鯊魚
2,sheet,n.,床單
2,shelf,n.,架子
2,shell,n.,殼
2,shine,v./n.,閃耀
2,shock,n./v.,震驚
2,shoot,v./n.,射擊
2,shopkeeper,n.,店主
2,shore,n.,支撐
2,shot,n.,射擊
2,shut,v./adj.,關閉
2,shy,adj.,害羞的
2,sidewalk,n.,人行道
2,silence,n./v.,沉默
2,silent,adj.,沉默的
2,silly,adj.,愚蠢的
2,silver,n./adj.,銀
2,similar,adj.,相似的
2,simply,adv.,簡單地
2,single,adj./n./v.,單身的
2,skill,n.,技能
2,skilled,adj.,熟練
2,skin,n.,皮膚
2,sleepy,adj.,睏
2,slide,n./v.,滑動
2,slip,v./n.,滑
2,slipper(s),n.,拖鞋）
2,smooth,adj./v.,光滑的
2,snack,n./v.,小吃
2,snail,n.,蝸牛
2,snowy,adj.,下雪的
2,soap,n./v.,肥皂
2,soccer,n.,足球
2,social,adj.,社會的
2,society,n.,社會
2,sock(s),n.,襪子）
2,soda,n.,蘇打
2,soft,adj.,柔軟的
2,soil,n.,土壤
2,solution,n.,解決方案
2,solve,v.,解決
2,somewhat,adv.,有些
2,sort,n./v.,種類
2,soul,n.,靈魂
2,sour,adj./n./v.,酸的
2,source,n.,來源
2,southern,adj.,南部
2,soybean,n.,大豆
2,speaker,n.,揚聲器
2,speech,n.,演講
2,speed,n./v.,速度
2,spelling,n.,拼字
2,spider,n.,蜘蛛
2,spirit,n.,精神
2,spoon,n.,湯匙
2,sport,n./v.,運動
2,spot,n./v.,點
2,spread,v./n.,傳播
2,stage,n./v.,階段
2,stamp,n./v.,郵票
2,standard,adj./n.,標準
2,state(ment),v./(n.),陳述）
2,steak,n.,牛排
2,steel,n./v.,鋼
2,step,n./v.,步
2,stick,v./n.,戳
2,stomachache,n.,腹痛
2,stone,n./v.,結石
2,storm,n./v.,風暴
2,stranger,n.,陌生人
2,strawberry,n.,草莓
2,stream,n./v.,溪流
2,stress,n./v.,壓力
2,stretch,n./v.,拉緊
2,strict,adj.,嚴格的
2,strike,n./v.,罷工
2,struggle,n./v.,鬥爭
2,style,n./v.,風格
2,subway/underground/metro,n.,地鐵/地鐵/地鐵
2,succeed,v.,成功
2,success,n.,成功
2,such,adj./pron.,這樣的
2,sudden,adj./n.,突然的
2,suggest,v.,建議
2,suit,n./v.,套裝
2,suitable,adj.,合適的
2,super,adj./adv.,極佳的
2,supper,n.,晚餐
2,supply,n./v.,供應
2,support,n./v.,支援
2,suppose,v.,認為
2,surf,v.,衝浪
2,surface,n./v.,表面
2,survival,n.,生存
2,survive,v.,存活
2,swallow,v./n.,吞
2,sweater,n.,毛衣
2,sweep,v.,掃
2,swim,v./n.,游泳
2,swimsuit,n.,泳裝
2,swing,n./v.,搖擺
2,switch,n./v.,轉變
2,symbol,n.,象徵
2,system,n.,系統
2,tale,n.,故事
2,target,n./v.,目標
2,task,n./v.,任務
2,tax,n./v.,稅
2,teapot,n./v.,茶壺
2,tear,n./v.,撕
2,technology,n.,科技
2,teens,n.,青少年
2,temperature,n.,溫度
2,term,n./v.,學期
2,terrorism,n.,恐怖主義
2,terrorist,adj.,恐怖分子
2,text,n.,文字
2,textbook,n.,教科書
2,therefore,adv.,所以
2,thief,n.,賊
2,thirsty,adj.,渴
2,thought,n.,想法
2,throughout,prep./adv.,自始至終
2,thunder,n./v.,雷
2,thus,adv.,因此
2,till,conj./prep.,直到
2,tiny,adj.,微小的
2,tire,v./n.,胎
2,tissue,n.,組織
2,title,n./v.,標題
2,toast,n./v.,吐司
2,tofu,n.,豆腐
2,tone,n.,語氣
2,tongue,n.,舌頭
2,toothache,n.,牙痛
2,toothbrush,n.,牙刷
2,tour,n./v.,旅遊
2,toward/towards,prep.,朝向/朝向
2,track,n./v.,追蹤
2,trade,n./v.,貿易
2,tradition,n.,傳統
2,traditional,adj.,傳統的
2,trap,n./v.,陷阱
2,trash,n./v.,垃圾
2,travel,n./v.,旅行
2,treasure,n./v.,寶藏
2,trial,n.,審判
2,triangle,n.,三角形
2,trick,n./v.,詭計
2,TRUE,adj./adv./v.,真的
2,trust,v./n.,相信
2,truth,n.,真相
2,tube,n.,管子
2,turtle,n.,龜
2,typhoon,n.,颱風
2,typical,adj.,典型的
2,ugly,adj.,醜陋的
2,umbrella,n.,傘
2,unit,n.,單元
2,universe,n.,宇宙
2,university,n.,大學
2,unless,conj.,除非
2,upload,v.,上傳
2,upon,prep.,之上
2,upper,adj.,上
2,upset,adj./v./n.,沮喪的
2,upstairs,adv./adj./n.,樓上
2,used,adj.,用過的
2,user,n.,使用者
2,usual,adj.,通常
2,vacation,n./v.,假期
2,valley,n.,谷
2,valuable,adj.,有價值的
2,value,n./v.,價值
2,victory,n.,勝利
2,view,n./v.,看法
2,village,n.,村莊
2,vote,n./v.,投票
2,waist,n.,腰部
2,waiter/waitress,n.,服務生/女服務員
2,wallet,n.,錢包
2,war,n.,戰爭
2,wash,v./n.,洗
2,waste,n./v.,浪費
2,watermelon,n.,西瓜
2,wealth,n.,財富
2,wedding,n.,婚禮
2,weekday,n.,工作日
2,weigh,v.,稱重
2,weight,n.,重量
2,western,adj./n.,西
2,whale,n.,鯨
2,whatever,adj./pron.,任何
2,wheel,n.,車輪
2,whenever,conj./adv.,每當
2,wherever,adv./conj.,無論在哪裡
2,whisper,n./v.,耳語
2,whoever,pron.,誰
2,whole,adj./n.,所有的
2,whom,pron.,誰
2,width,n.,寬度
2,wild,adj./adv./n.,荒野
2,willing,adj.,願意的
2,windy,adj.,有風的
2,wine,n.,葡萄酒
2,wing,n.,翼
2,wire,n.,金屬絲
2,within,prep./adv.,之內
2,wolf,n.,狼
2,wonder,v./n.,想知道
2,wood(s),n.,木材
2,wooden,adj.,木製的
2,wool,n.,羊毛
2,workbook,n.,作業簿
2,worm,n./v.,蠕蟲
2,worse,adj./adv./n.,更糟
2,worst,adj./adv./n.,最糟糕的
2,worth,adj./n.,值得
2,wound,n./v.,傷口
2,yam,n.,薯
2,youth,n.,青年
2,zebra,n.,斑馬
3,aboard,prep./adv.,船上
3,acceptable,adj.,可以接受
3,accurate,adj.,準確的
3,ache,n./v.,疼痛
3,achieve(ment),v./(n.),成就）
3,additional adj. admire,v.,額外的形容詞欽佩
3,advanced,adj.,先進的
3,advantage,n.,優勢
3,adventure,n.,冒險
3,advertise(ment)/ad,v./(n.),廣告（廣告）/廣告
3,advise,v.,建議
3,adviser/advisor,n.,顧問/顧問
3,afford,v.,買得起
3,afterward/afterwards,adv.,之後/之後
3,agriculture,n.,農業
3,airline,n.,航空
3,alley,n.,胡同
3,almond,n.,杏仁
3,alphabet,n.,字母
3,amaze(ment),v./(n.),驚愕）
3,ambassador,n.,大使
3,ambition,n.,志向
3,ambulance,n.,救護車
3,angel,n.,天使
3,announce(ment),v./(n.),公告）
3,anxious,adj.,焦慮的
3,anyhow,adv.,無論如何
3,apart,adv.,分開
3,apologize,v.,道歉
3,appeal,n./v.,上訴
3,approve,v.,核准
3,apron,n.,圍裙
3,armed,adj.,武裝的
3,arrest,n./v.,逮捕
3,ash,n.,灰
3,aside,adv.,放在一邊
3,assist,v.,協助
3,assistant,n.,助理
3,assume,v.,認為
3,athlete,n.,運動員
3,attitude,n.,態度
3,attract,v.,吸引
3,attractive,adj.,吸引人的
3,audience,n.,觀眾
3,automatic,adj.,自動的
3,automobile/auto,n.,汽車/汽車
3,avenue,n.,大街
3,awake,adj./v.,醒
3,awaken,v.,喚醒
3,award,n./v.,獎
3,aware,adj.,意識到的
3,awful,adj.,可怕
3,awkward,adj.,尷尬的
3,background,n.,背景
3,bacon,n.,培根
3,bacteria,n.,細菌
3,badly,adv.,嚴重地
3,baggage,n.,行李
3,bait,n./v.,餌
3,bamboo,n.,竹子
